Date,Open,High,Low,Close,Adj Close,Volume
1998-11-27,3.550000,3.550000,2.710000,3.400000,2.261180,21000
1998-11-30,3.250000,3.300000,3.100000,3.210000,2.134820,132000
1998-12-01,3.290000,3.460000,3.220000,3.390000,2.254530,123500
1998-12-02,3.360000,3.440000,3.320000,3.390000,2.254530,75500
1998-12-03,3.440000,3.490000,3.370000,3.390000,2.254530,102000
1998-12-04,3.340000,3.410000,3.300000,3.390000,2.254530,71000
1998-12-07,3.380000,3.440000,3.350000,3.380000,2.247880,26000
1998-12-08,3.380000,3.400000,3.230000,3.240000,2.154772,32500
1998-12-09,3.290000,3.340000,3.230000,3.240000,2.154772,15000
1998-12-10,3.240000,3.270000,3.190000,3.200000,2.128170,36000
1998-12-11,3.220000,3.240000,3.120000,3.160000,2.101568,37500
1998-12-14,3.260000,3.260000,3.160000,3.180000,2.114869,18500
1998-12-15,3.200000,3.200000,3.150000,3.150000,2.094917,8500
1998-12-16,3.140000,3.160000,3.100000,3.130000,2.081616,43000
1998-12-17,3.030000,3.120000,3.030000,3.080000,2.048363,14000
1998-12-18,3.060000,3.120000,2.990000,3.000000,1.995159,72500
1998-12-21,3.150000,3.160000,3.050000,3.050000,2.028412,35500
1998-12-22,3.070000,3.070000,3.000000,3.060000,2.035062,22000
1998-12-23,3.040000,3.070000,3.000000,3.040000,2.021761,20000
1998-12-24,2.920000,3.060000,2.920000,3.000000,1.995159,29000
1998-12-25,3.000000,3.000000,3.000000,3.000000,1.995159,0
1998-12-28,3.000000,3.070000,3.000000,3.000000,1.995159,11000
1998-12-29,3.010000,3.100000,3.000000,3.050000,2.028412,24000
1998-12-30,3.130000,3.540000,3.130000,3.410000,2.267831,47000
1998-12-31,3.400000,3.400000,3.210000,3.240000,2.154772,48500
1999-01-01,3.320000,3.340000,3.230000,3.270000,2.174724,337500
1999-01-04,3.400000,3.540000,3.400000,3.410000,2.267831,50000
1999-01-05,3.360000,3.360000,3.170000,3.200000,2.128170,44000
1999-01-06,3.270000,3.270000,3.150000,3.200000,2.128170,47000
1999-01-07,3.200000,3.560000,3.200000,3.350000,2.227927,104000
1999-01-08,3.440000,3.550000,3.400000,3.410000,2.267831,220000
1999-01-11,3.600000,3.650000,3.410000,3.510000,2.334336,172500
1999-01-12,3.450000,3.600000,3.370000,3.430000,2.281132,47500
1999-01-13,3.410000,3.470000,3.400000,3.420000,2.274482,25500
1999-01-14,3.360000,3.400000,3.300000,3.360000,2.234578,9000
1999-01-15,3.400000,3.400000,3.130000,3.190000,2.121519,31000
1999-01-18,3.190000,3.260000,3.150000,3.260000,2.168073,9000
1999-01-19,3.350000,3.350000,3.250000,3.300000,2.194675,7500
1999-01-20,3.300000,3.300000,3.300000,3.300000,2.194675,0
1999-01-21,3.100000,3.260000,2.940000,3.250000,2.161423,10500
1999-01-22,3.300000,3.380000,3.220000,3.260000,2.168073,4500
1999-01-25,3.250000,3.260000,3.070000,3.260000,2.168073,15500
1999-01-26,3.260000,3.260000,3.260000,3.260000,2.168073,0
1999-01-27,3.200000,3.200000,3.120000,3.200000,2.128170,5000
1999-01-28,3.200000,3.280000,3.160000,3.160000,2.101568,8500
1999-01-29,3.200000,3.240000,3.020000,3.030000,2.015110,37000
1999-02-01,3.100000,3.120000,3.100000,3.100000,2.061665,7500
1999-02-02,3.200000,3.200000,3.020000,3.190000,2.121519,34500
1999-02-03,3.240000,3.250000,3.150000,3.170000,2.108218,60500
1999-02-04,3.200000,3.200000,3.100000,3.100000,2.061665,30000
1999-02-05,3.180000,3.200000,3.020000,3.100000,2.061665,27500
1999-02-08,3.100000,3.140000,3.100000,3.130000,2.081616,9500
1999-02-09,3.000000,3.100000,3.000000,3.060000,2.035062,9000
1999-02-10,3.190000,3.200000,3.000000,3.020000,2.008460,13000
1999-02-11,3.100000,3.100000,3.000000,3.060000,2.035062,23000
1999-02-12,3.000000,3.100000,3.000000,3.000000,1.995159,86500
1999-02-15,3.000000,3.000000,3.000000,3.000000,1.995159,3500
1999-02-16,3.110000,3.110000,3.010000,3.010000,2.001810,4000
1999-02-17,3.020000,3.080000,3.000000,3.020000,2.008460,3000
1999-02-18,2.950000,3.100000,2.950000,3.000000,1.995159,55000
1999-02-19,3.050000,3.050000,2.900000,3.000000,1.995159,47500
1999-02-22,3.100000,3.100000,2.800000,2.990000,1.988509,3500
1999-02-23,2.910000,2.910000,2.840000,2.880000,1.915353,12500
1999-02-24,2.820000,2.900000,2.800000,2.900000,1.928653,21000
1999-02-25,2.940000,2.960000,2.850000,2.850000,1.895401,12500
1999-02-26,2.900000,2.900000,2.840000,2.880000,1.915353,13500
1999-03-01,2.850000,2.870000,2.800000,2.840000,1.888750,50000
1999-03-02,2.840000,2.840000,2.840000,2.840000,1.888750,0
1999-03-03,3.040000,3.540000,3.040000,3.510000,2.334336,102500
1999-03-04,3.500000,3.500000,3.120000,3.320000,2.207976,284000
1999-03-05,3.490000,3.490000,3.200000,3.270000,2.174724,271000
1999-03-08,3.690000,3.690000,3.300000,3.300000,2.194675,212000
1999-03-09,3.590000,3.600000,3.200000,3.200000,2.128170,119000
1999-03-10,2.940000,3.200000,2.940000,3.150000,2.094917,19000
1999-03-11,3.100000,3.190000,3.000000,3.000000,1.995159,61500
1999-03-12,3.000000,3.050000,2.800000,2.890000,1.922004,69500
1999-03-15,3.020000,3.020000,2.900000,2.900000,1.928653,49500
1999-03-16,2.920000,3.020000,2.800000,2.840000,1.888750,66000
