Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,106.125000,117.000000,93.599998,104.224998,102.901085,85316004
2021-03-22,103.000000,103.699997,97.050003,98.824997,97.569672,13271498
2021-03-23,97.900002,99.474998,90.750000,92.449997,91.275658,12070000
2021-03-24,90.349998,91.949997,89.275002,90.175003,89.029556,5168464
2021-03-25,90.300003,91.900002,83.474998,89.800003,88.659317,6044574
2021-03-26,91.550003,107.750000,90.199997,104.474998,103.147903,12754112
2021-03-30,108.449997,111.449997,97.550003,105.375000,104.036476,19744812
2021-03-31,103.199997,106.875000,100.949997,103.550003,102.234657,6268006
2021-04-01,105.025002,108.300003,103.175003,107.000000,105.640839,4668328
2021-04-05,104.000000,105.900002,99.000000,99.275002,98.013962,5261000
2021-04-06,100.750000,101.099998,95.000000,96.400002,95.175476,1920606
2021-04-07,96.224998,102.949997,96.099998,100.724998,99.445541,3806558
2021-04-08,100.974998,102.074997,99.300003,100.599998,99.322128,2870954
2021-04-09,100.125000,102.125000,99.000000,100.675003,99.396179,1366498
2021-04-12,96.000000,99.400002,92.900002,93.974998,92.781281,2927094
2021-04-13,95.500000,98.400002,93.050003,96.025002,94.805237,1444014
2021-04-15,95.500000,95.500000,85.500000,86.675003,85.574013,6119208
2021-04-16,87.474998,88.974998,86.000000,86.699997,85.598694,2928308
2021-04-19,84.425003,87.175003,80.775002,86.050003,84.956947,3702844
2021-04-20,86.000000,88.699997,85.000000,85.574997,84.487984,1857846
2021-04-22,86.974998,88.150002,80.500000,86.250000,85.154411,2533254
2021-04-23,86.500000,92.349998,85.949997,88.750000,87.622650,5634632
2021-04-26,89.949997,94.650002,89.500000,92.699997,91.522476,3483744
2021-04-27,92.224998,93.474998,90.525002,91.275002,91.098305,1556886
2021-04-28,92.224998,97.224998,91.500000,96.025002,95.839104,3238068
2021-04-29,96.599998,97.349998,93.500000,93.849998,93.668312,1227654
2021-04-30,92.500000,96.375000,92.000000,93.699997,93.518600,1571960
2021-05-03,92.500000,95.224998,91.525002,92.175003,91.996559,1270700
2021-05-04,93.000000,95.900002,91.275002,94.349998,94.167343,1448592
2021-05-05,95.125000,99.800003,94.500000,98.474998,98.284363,2950312
2021-05-06,99.349998,102.050003,94.650002,95.449997,95.265213,2060786
2021-05-07,97.000000,97.000000,93.550003,93.824997,93.643364,1723554
2021-05-10,94.949997,95.025002,93.525002,94.099998,93.917831,1677452
2021-05-11,93.500000,95.324997,92.925003,94.699997,94.516670,1828070
2021-05-12,95.000000,102.000000,94.000000,97.650002,97.460960,4185918
2021-05-14,99.599998,100.875000,94.324997,94.750000,94.566574,2059920
2021-05-17,95.025002,97.449997,95.000000,95.800003,95.614540,1458406
2021-05-18,96.074997,114.949997,96.074997,114.949997,114.727463,12718296
2021-05-19,118.500000,126.349998,114.525002,116.324997,116.099800,19352110
2021-05-20,117.699997,119.125000,111.500000,112.900002,112.681442,3951610
2021-05-21,113.750000,123.349998,113.550003,120.324997,120.092056,6524834
2021-05-24,121.875000,134.925003,116.800003,132.250000,131.993973,12927980
2021-05-25,134.000000,147.250000,134.000000,136.774994,136.510208,14813896
2021-05-26,139.225006,149.000000,137.000000,146.425003,146.141541,7438796
2021-05-27,145.500000,148.199997,140.000000,145.800003,145.517746,3935498
2021-05-28,146.000000,148.649994,137.649994,139.274994,139.005371,2599940
2021-05-31,140.449997,167.125000,136.250000,164.000000,163.682510,16722380
2021-06-01,166.000000,172.000000,156.675003,166.199997,165.878250,10841220
2021-06-02,165.725006,182.800003,164.225006,181.350006,180.998932,9603830
2021-06-03,184.000000,198.850006,182.500000,187.225006,186.862564,14196828
2021-06-04,186.949997,195.000000,182.649994,186.550003,186.188858,6477096
2021-06-07,188.350006,190.649994,183.500000,186.625000,186.263718,3229538
2021-06-08,187.875000,192.000000,180.699997,188.899994,188.534302,3636934
2021-06-09,191.000000,207.500000,189.000000,195.949997,195.570663,9479192
2021-06-10,199.500000,215.524994,199.500000,215.524994,215.107758,9060822
2021-06-11,224.000000,227.199997,214.000000,221.699997,221.270813,7286726
2021-06-14,220.000000,220.000000,199.550003,209.875000,209.468704,7107052
2021-06-15,212.449997,226.000000,208.149994,210.649994,210.242203,10174744
2021-06-16,213.625000,220.824997,207.024994,210.074997,209.668320,4503126
2021-06-17,208.000000,213.949997,191.175003,194.824997,194.447830,4570896
2021-06-18,197.725006,202.600006,177.824997,191.774994,191.403732,5737096
2021-06-21,188.500000,200.699997,182.875000,195.750000,195.371048,3317434
2021-06-22,202.449997,206.324997,198.899994,200.125000,199.737579,3060438
2021-06-23,202.500000,204.199997,195.024994,196.875000,196.493866,1740448
2021-06-24,198.050003,200.824997,191.774994,194.699997,194.323074,2217372
2021-06-25,196.250000,197.500000,191.524994,192.500000,192.127335,1142870
2021-06-28,193.625000,200.500000,191.574997,196.824997,196.443970,1810128
2021-06-29,199.500000,205.475006,197.625000,199.074997,198.689606,3719572
2021-06-30,201.199997,202.449997,196.000000,197.000000,196.618622,1414744
2021-07-01,197.550003,199.225006,194.625000,195.250000,194.872009,1213252
2021-07-02,196.399994,198.024994,194.324997,195.300003,194.921921,870108
2021-07-05,195.500000,214.824997,195.000000,214.824997,214.409119,7141670
2021-07-06,217.500000,233.500000,213.800003,216.350006,215.931168,13337228
2021-07-07,218.375000,223.399994,214.149994,217.524994,217.103882,3024120
2021-07-08,219.375000,219.375000,208.524994,212.250000,211.839111,2214800
2021-07-09,212.250000,221.324997,210.000000,215.875000,215.457092,2511080
2021-07-12,217.500000,230.550003,217.500000,225.475006,225.038513,5239536
2021-07-13,228.000000,230.449997,223.149994,224.725006,224.289963,2371534
2021-07-14,225.449997,226.250000,218.500000,219.725006,219.299637,1191218
2021-07-15,220.824997,227.800003,218.000000,220.600006,220.172943,3041180
2021-07-16,222.175003,223.350006,216.175003,217.449997,217.029037,1707968
2021-07-19,213.899994,217.899994,209.000000,212.274994,211.864044,2300184
2021-07-20,213.350006,214.725006,201.574997,205.675003,205.276840,2081488
2021-07-22,207.250000,212.774994,207.250000,211.500000,211.090561,1221518
2021-07-23,212.574997,216.199997,210.000000,211.550003,211.140457,2367278
2021-07-26,210.000000,211.649994,206.175003,207.475006,207.073349,2280110
2021-07-27,208.500000,211.625000,205.000000,206.675003,206.274902,1614846
2021-07-28,207.750000,208.500000,201.649994,207.000000,206.599274,1079632
2021-07-29,207.800003,210.774994,205.125000,206.600006,206.200043,1144696
2021-07-30,207.000000,207.649994,204.024994,204.550003,204.154022,1137748
2021-08-02,210.000000,225.000000,210.000000,224.625000,224.190155,8996242
2021-08-03,227.350006,237.899994,220.125000,235.550003,235.094009,10908988
