Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,2.320000,2.340000,2.210000,2.340000,1.552915,441200
2002-07-02,2.570000,2.580000,2.340000,2.580000,1.712189,1946940
2002-07-03,2.660000,2.840000,2.610000,2.840000,1.884735,4030840
2002-07-04,2.990000,3.120000,2.950000,3.120000,2.070554,2315800
2002-07-05,3.300000,3.440000,3.010000,3.150000,2.090463,6273960
2002-07-08,3.300000,3.350000,2.900000,2.950000,1.957735,3054480
2002-07-09,2.900000,3.130000,2.810000,2.850000,1.891371,2529300
2002-07-10,2.850000,2.950000,2.600000,2.640000,1.752007,981180
2002-07-11,2.560000,2.900000,2.550000,2.900000,1.924554,1851160
2002-07-12,3.050000,3.200000,2.860000,2.910000,1.931190,4054340
2002-07-15,2.910000,2.930000,2.650000,2.750000,1.825008,1120600
2002-07-16,2.950000,3.030000,2.710000,2.830000,1.878099,1942520
2002-07-17,2.850000,2.900000,2.670000,2.750000,1.825008,1542680
2002-07-18,2.800000,3.000000,2.750000,2.860000,1.898007,2051900
2002-07-19,2.990000,2.990000,2.690000,2.780000,1.844917,1966760
2002-07-22,2.740000,2.740000,2.500000,2.510000,1.665734,1132980
2002-07-23,2.500000,2.530000,2.280000,2.420000,1.606007,1099560
2002-07-24,2.450000,2.450000,2.180000,2.180000,1.446733,913620
2002-07-25,2.330000,2.400000,2.230000,2.400000,1.592734,1417000
2002-07-26,2.590000,2.590000,2.180000,2.200000,1.460006,1120760
2002-07-29,2.200000,2.200000,1.980000,2.160000,1.433460,1106740
2002-07-30,2.350000,2.350000,1.950000,1.950000,1.294096,556880
2002-07-31,1.810000,1.950000,1.760000,1.830000,1.214460,1634300
2002-08-01,2.000000,2.000000,1.750000,1.760000,1.168005,288880
2002-08-02,1.670000,1.930000,1.670000,1.840000,1.221096,268800
2002-08-05,1.950000,1.990000,1.760000,1.950000,1.294096,913200
2002-08-06,1.950000,2.140000,1.890000,2.140000,1.420188,2608260
2002-08-07,2.250000,2.340000,2.220000,2.290000,1.519734,1938620
2002-08-08,2.300000,2.480000,2.210000,2.290000,1.519734,3303580
2002-08-09,2.350000,2.390000,2.260000,2.330000,1.546279,1114240
2002-08-12,2.360000,2.400000,2.340000,2.350000,1.559552,388460
2002-08-13,2.480000,2.580000,2.350000,2.580000,1.712189,1012220
2002-08-14,2.800000,2.840000,2.670000,2.750000,1.825008,4449540
2002-08-15,2.750000,2.750000,2.750000,2.750000,1.825008,0
2002-08-16,2.770000,2.840000,2.470000,2.530000,1.679007,2653520
2002-08-19,2.500000,2.560000,2.410000,2.430000,1.612643,883080
